pair_id,sample_idx,pair_split,positive_stream,negative_stream,positive_energy_per_atom,negative_energy_per_atom,energy_gap_eV_per_atom,eligible_streams
energy-pair-0000,0,train,3,0,-7.265341758728027,-7.197306156158447,0.06803560256958008,4
energy-pair-0003,3,train,3,2,-2.648350715637207,-2.562068462371826,0.08628225326538086,2
energy-pair-0004,4,train,0,3,-5.9714131355285645,-5.860729217529297,0.11068391799926758,4
energy-pair-0005,5,train,1,0,-4.375363349914551,-4.292733669281006,0.08262968063354492,4
energy-pair-0011,11,train,3,2,-8.753211975097656,-8.635641098022461,0.11757087707519531,4
energy-pair-0012,12,train,2,1,-4.697602272033691,-3.1279451847076416,1.5696570873260498,3
energy-pair-0016,16,train,2,3,-3.655930757522583,-3.5373997688293457,0.1185309886932373,4
energy-pair-0018,18,validation,2,3,-5.289191722869873,-5.126937389373779,0.16225433349609375,4
energy-pair-0022,22,validation,3,1,-5.389626502990723,-5.291813373565674,0.09781312942504883,4
energy-pair-0023,23,train,0,2,-9.655330657958984,-9.587549209594727,0.06778144836425781,4
energy-pair-0027,27,validation,3,0,-10.263589859008789,-9.992775917053223,0.2708139419555664,4
energy-pair-0030,30,train,0,2,-9.93709659576416,-9.81142520904541,0.12567138671875,4
energy-pair-0033,33,validation,2,1,-8.074366569519043,-8.004663467407227,0.0697031021118164,4
energy-pair-0034,34,train,1,3,-7.462167739868164,-7.377270698547363,0.08489704132080078,4
energy-pair-0035,35,train,2,1,-4.952576637268066,-4.836175918579102,0.11640071868896484,4
energy-pair-0038,38,train,0,2,-7.828473091125488,-7.761699199676514,0.06677389144897461,4
energy-pair-0040,40,train,0,2,-4.549986839294434,-4.448352336883545,0.10163450241088867,4
energy-pair-0041,41,train,0,2,-9.112710952758789,-8.908968925476074,0.20374202728271484,4
energy-pair-0043,43,train,3,1,-5.081974983215332,-4.890714168548584,0.19126081466674805,4
energy-pair-0046,46,train,2,1,-5.240519046783447,-5.134603500366211,0.10591554641723633,4
energy-pair-0052,52,train,2,3,-5.3351335525512695,-5.250585556030273,0.0845479965209961,4
energy-pair-0057,57,train,1,0,-5.084009647369385,-4.870111465454102,0.2138981819152832,4
energy-pair-0065,65,train,2,0,-7.500060081481934,-7.409647464752197,0.09041261672973633,4
energy-pair-0066,66,train,2,3,-4.763976097106934,-4.6644978523254395,0.09947824478149414,4
energy-pair-0067,67,validation,1,2,-8.244586944580078,-8.11407470703125,0.13051223754882812,4
energy-pair-0069,69,train,0,2,-6.67249059677124,-6.595417499542236,0.0770730972290039,4
energy-pair-0071,71,train,3,2,-5.867455959320068,-5.797333717346191,0.07012224197387695,4
energy-pair-0072,72,validation,1,2,-8.909906387329102,-8.520905494689941,0.38900089263916016,4
energy-pair-0073,73,train,2,0,-5.055825710296631,-4.966204643249512,0.08962106704711914,4
energy-pair-0076,76,validation,2,0,-10.905681610107422,-10.791923522949219,0.11375808715820312,4
energy-pair-0077,77,train,3,0,-8.458704948425293,-8.363239288330078,0.09546566009521484,4
energy-pair-0078,78,train,3,1,-6.923951625823975,-4.613666534423828,2.3102850914001465,4
energy-pair-0083,83,train,3,2,-4.451759338378906,-4.307839870452881,0.1439194679260254,4
energy-pair-0085,85,validation,3,2,-6.186779499053955,-6.103573322296143,0.0832061767578125,4
energy-pair-0087,87,train,0,3,-6.030942440032959,-5.884570598602295,0.14637184143066406,4
energy-pair-0093,93,train,0,1,-6.297900199890137,-6.182372093200684,0.11552810668945312,4
energy-pair-0094,94,train,0,2,-9.577122688293457,-9.454639434814453,0.1224832534790039,4
energy-pair-0096,96,train,0,2,-5.814476013183594,-5.650306224822998,0.1641697883605957,4
energy-pair-0097,97,validation,2,1,-9.300406455993652,-9.200511932373047,0.09989452362060547,4
energy-pair-0101,101,train,3,0,-8.352620124816895,-8.123579978942871,0.22904014587402344,4
energy-pair-0102,102,train,2,0,-9.741463661193848,-9.66450023651123,0.07696342468261719,4
energy-pair-0103,103,train,1,2,-6.20211935043335,-6.046753883361816,0.1553654670715332,4
energy-pair-0108,108,train,3,0,-4.703962326049805,-4.640057563781738,0.0639047622680664,4
energy-pair-0110,110,train,2,3,-7.350827217102051,-7.271109580993652,0.07971763610839844,4
energy-pair-0112,112,validation,0,1,-6.04940128326416,-5.98333215713501,0.06606912612915039,4
energy-pair-0117,117,train,0,1,-9.228293418884277,-9.128849029541016,0.09944438934326172,4
energy-pair-0120,120,train,3,0,-6.840461730957031,-6.578311920166016,0.2621498107910156,4
energy-pair-0123,123,train,2,0,-6.499521255493164,-6.280453681945801,0.21906757354736328,4
energy-pair-0125,125,validation,1,2,-5.110816955566406,-4.9810919761657715,0.12972497940063477,4
energy-pair-0127,127,train,2,0,-3.2671265602111816,-3.169079065322876,0.09804749488830566,4
energy-pair-0128,128,validation,1,3,-9.80478286743164,-9.57568073272705,0.22910213470458984,4
energy-pair-0131,131,train,1,3,-5.255661964416504,-5.149823188781738,0.10583877563476562,4
energy-pair-0133,133,train,1,2,-8.408799171447754,-8.32991886138916,0.07888031005859375,4
energy-pair-0141,141,validation,1,2,-5.33612585067749,-5.256446838378906,0.07967901229858398,4
energy-pair-0142,142,train,1,3,-8.028908729553223,-7.900688648223877,0.1282200813293457,4
energy-pair-0143,143,validation,2,3,-8.082175254821777,-7.85599946975708,0.22617578506469727,4
energy-pair-0148,148,train,0,1,-5.271578311920166,-5.16859245300293,0.10298585891723633,4
energy-pair-0154,154,train,3,2,-6.510750770568848,-6.356544494628906,0.1542062759399414,4
energy-pair-0156,156,train,2,0,-7.439457893371582,-7.348140239715576,0.09131765365600586,4
energy-pair-0170,170,validation,2,1,-2.685377359390259,-2.5731968879699707,0.11218047142028809,4
energy-pair-0171,171,train,2,3,-4.645776271820068,-4.575753688812256,0.0700225830078125,4
energy-pair-0173,173,train,2,1,-4.946964263916016,-4.818116188049316,0.12884807586669922,4
energy-pair-0174,174,train,3,2,-7.60329008102417,-7.513019561767578,0.0902705192565918,3
energy-pair-0176,176,validation,2,0,-7.108908653259277,-6.957462787628174,0.15144586563110352,4
energy-pair-0177,177,train,1,0,-4.598445415496826,-4.446069717407227,0.1523756980895996,4
energy-pair-0181,181,validation,3,2,-7.311155319213867,-7.194647312164307,0.11650800704956055,4
energy-pair-0183,183,train,2,0,-4.715572834014893,-4.589354515075684,0.12621831893920898,4
energy-pair-0187,187,train,2,3,-5.646592140197754,-5.574955940246582,0.07163619995117188,4
energy-pair-0190,190,validation,0,1,-5.15709924697876,-5.009889125823975,0.14721012115478516,4
energy-pair-0194,194,train,0,2,-6.692509174346924,-6.609657287597656,0.08285188674926758,4
energy-pair-0197,197,train,2,0,-6.809110164642334,-6.497589111328125,0.311521053314209,4
energy-pair-0198,198,train,1,3,-5.225502967834473,-5.156531810760498,0.06897115707397461,4
energy-pair-0202,202,train,1,3,-3.3448989391326904,-3.2610840797424316,0.08381485939025879,4
